original	corrected	confidence
Fossil	FOCIL	high
fossil	FOCIL	high
LOSTAR	Lodestar	high
Low Star	Lodestar	high
Lostar	Lodestar	high
lowest star	Lodestar	high
Taekw	Teku	high
Taeku	Teku	high
Deku	Teku	high
Beku	Teku	high
Luthor	Lodestar	medium
Nevermind	Nethermind	high
NetherMinder	Nethermind	high
Nethermine	Nethermind	high
Netherland	Nethermind	medium
DevNut	devnet	high
EthMan Ops	EthPandaOps	high
EF Pandop	EthPandaOps	high
pandas	EthPandaOps	medium
Forsol	FOCIL	high
Forsolен	FOCIL	medium
FOL	FOCIL	high
FOCILN	FOCIL	high
FOCL	FOCIL	high
Hagar	Agora	medium
frames	frames	low
Solen	FOCIL	medium
Seoul	FOCIL	medium
Sol	FOCIL	medium
Forstolen	FOCIL	medium
Forestolen	FOCIL	medium
2vOps	VOPS	medium
blaps	VOPS	medium
WAPS	VOPS	medium
WAPs	VOPS	medium
VUPS	VOPS	medium
MEX verified DAS	max verify gas	medium
verified MEX gas	max verify gas	medium
next verified DAS	max verify gas	medium
kidnapses	kid nunces	low
kidnapses	nullifiers	low
